polygon_type,n,algorithm,time_mean,time_std,reflex_count
comb,100,earcut,0.02124866,0.009953578490150756,0
comb,100,reflex,0.15525983999999998,0.0692903250190038,24
comb,500,earcut,0.10385484,0.04456732128115801,0
comb,500,reflex,0.9731937,0.30715753770086646,124
comb,1000,earcut,0.36920358,0.11420742071302567,0
comb,1000,reflex,3.0879358000000003,0.7386868555867865,249
comb,2000,earcut,0.63267624,0.3451212981886969,0
comb,2000,reflex,5.155725,2.3521675510137103,499
comb,5000,earcut,1.07141686,0.7717469080242434,0
comb,5000,reflex,7.1600076,2.7695096106900094,1249
comb,10000,earcut,2.55113198,1.526637798364592,0
comb,10000,reflex,20.9910442,9.40763067376237,2499
comb,20000,earcut,4.7982274,2.487405504632643,0
comb,20000,reflex,39.619288000000005,14.859379797954324,4999
comb,50000,earcut,11.6754044,6.276627312538374,0
comb,50000,reflex,82.97742399999998,29.504655211370647,12499
convex,100,earcut,0.049721659999999994,0.016436292701823,0
convex,100,reflex,0.23038604,0.12273234038527638,2
convex,500,earcut,0.16329994,0.10540522085536255,0
convex,500,reflex,0.9311429800000001,0.3139888672068103,60
convex,1000,earcut,0.35386032,0.14933336530488844,0
convex,1000,reflex,2.2743425999999998,0.9104099900634813,183
convex,2000,earcut,1.05294128,0.32241029403503346,0
convex,2000,reflex,6.536658599999999,1.6341804773185302,484
convex,5000,earcut,2.4283512,1.1543092716854968,0
convex,5000,reflex,14.985444,5.1146166177909835,1450
convex,10000,earcut,3.8569068,2.6580563930723544,0
convex,10000,reflex,21.248348,11.251145495463915,3108
convex,20000,earcut,12.103001200000001,6.999508310549505,0
convex,20000,reflex,49.701283999999994,24.684375213080582,6375
convex,50000,earcut,39.86487,18.91412057987095,0
convex,50000,reflex,105.10745800000001,46.72205838552104,16400
random_star,100,earcut,0.0543783,0.035058843497724784,0
random_star,100,reflex,0.37098636,0.2030802878228074,28
random_star,500,earcut,0.3424292,0.4429381198540454,0
random_star,500,reflex,1.8986772600000001,1.753901473965467,154
random_star,1000,earcut,0.68118064,0.3719595058304918,0
random_star,1000,reflex,2.51992922,1.3013938326706782,327
random_star,2000,earcut,2.50302252,1.164321168676238,0
random_star,2000,reflex,7.651264,2.542547170402636,658
random_star,5000,earcut,8.663022999999999,4.559220222014006,0
random_star,5000,reflex,13.9502114,6.4616565702599615,1637
random_star,10000,earcut,37.892572,18.49975803999565,0
random_star,10000,reflex,27.987944,14.698036845938136,3320
random_star,20000,earcut,107.741592,34.74431366882779,0
random_star,20000,reflex,49.397006000000005,15.016968767030292,6611
random_star,50000,earcut,755.7072999999999,155.13904359246808,0
random_star,50000,reflex,120.81558,43.88303681611948,16605
spiral,100,earcut,0.04929162,0.027541612411774444,0
spiral,100,reflex,0.0060523,0.0027752365756851093,0
spiral,500,earcut,0.21796862,0.0924768371543769,0
spiral,500,reflex,0.022152280000000003,0.016730777996524237,0
spiral,1000,earcut,0.39286374,0.11069231166760762,0
spiral,1000,reflex,0.053476239999999994,0.026628548662283348,0
spiral,2000,earcut,0.93602046,0.43974208475243387,0
spiral,2000,reflex,0.11139894,0.09721164248477732,0
spiral,5000,earcut,1.5250050400000001,0.6783502134847565,0
spiral,5000,reflex,0.1590826,0.0850929667174409,0
spiral,10000,earcut,2.8837908,1.2992543433326422,0
spiral,10000,reflex,0.2755342,0.13190769504854677,0
spiral,20000,earcut,5.678529,2.847641460352652,0
spiral,20000,reflex,0.60890458,0.3006170766652806,0
spiral,50000,earcut,13.955169399999999,8.910071475955188,0
spiral,50000,reflex,1.7255514600000001,0.9847952398504216,0
star,100,earcut,0.05682072,0.024893026146620388,0
star,100,reflex,0.46729254,0.23322218446271276,46
star,500,earcut,0.2546599,0.07127826882367445,0
star,500,reflex,1.9977173400000001,0.49264682998959863,246
star,1000,earcut,0.6733084599999999,0.1801402018177712,0
star,1000,reflex,4.099535,0.7974518202431942,496
star,2000,earcut,1.6069493,0.5435571522087778,0
star,2000,reflex,7.2219788,2.27373193189993,996
star,5000,earcut,7.2775774,3.0728254570889506,0
star,5000,reflex,15.6753572,5.6658878816446325,2496
star,10000,earcut,21.248613999999996,12.039123105839359,0
star,10000,reflex,23.70678,10.193143183853085,4996
star,20000,earcut,69.32181,32.536399375859155,0
star,20000,reflex,42.968958,13.55391829546116,9996
star,50000,earcut,366.05072,86.29641307584421,0
star,50000,reflex,110.43047800000001,45.145697007877246,24996
